"Modelo","Status","DuracaoMs","Resposta","ErroResumo","ErroCompleto"
"all-team-models","FALHOU","156","","/chat/completions: Invalid model name passed in model=all-team-models. Call `/v1/models` to view available models for your key.","{""error"":{""message"":""/chat/completions: Invalid model name passed in model=all-team-models. Call `/v1/models` to view available models for your key."",""type"":""None"",""param"":""None"",""code"":""400"",""provider_specific_fields"":{""error"":""/chat/completions: Invalid model name passed in model=all-team-models. Call `/v1/models` to view available models for your key.""}}}"
"claude-fable-5","OK","3700","ok","",""
"claude-haiku-4-5","FALHOU","3046","","litellm.NotFoundError: Vertex_aiException - {
  ""error"": {
    ""code"": 404,
    ""message"": ""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-haiku-4-5` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations."",
    ""status"": ""NOT_FOUND""
  }
}
. Re...","{""error"":{""message"":""litellm.NotFoundError: Vertex_aiException - {\n  \""error\"": {\n    \""code\"": 404,\n    \""message\"": \""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-haiku-4-5` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations.\"",\n    \""status\"": \""NOT_FOUND\""\n  }\n}\n. Received Model Group=claude-haiku-4-5\nAvailable Model Group Fallbacks=None"",""type"":null,""param"":null,""code"":""404""}}"
"claude-opus-4","FALHOU","644","","litellm.NotFoundError: Vertex_aiException - {
  ""error"": {
    ""code"": 404,
    ""message"": ""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations."",
    ""status"": ""NOT_FOUND""
  }
}
. Recei...","{""error"":{""message"":""litellm.NotFoundError: Vertex_aiException - {\n  \""error\"": {\n    \""code\"": 404,\n    \""message\"": \""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations.\"",\n    \""status\"": \""NOT_FOUND\""\n  }\n}\n. Received Model Group=claude-opus-4\nAvailable Model Group Fallbacks=None"",""type"":null,""param"":null,""code"":""404""}}"
"claude-opus-4-1","FALHOU","839","","litellm.NotFoundError: Vertex_aiException - {
  ""error"": {
    ""code"": 404,
    ""message"": ""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4-1` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations."",
    ""status"": ""NOT_FOUND""
  }
}
. Rec...","{""error"":{""message"":""litellm.NotFoundError: Vertex_aiException - {\n  \""error\"": {\n    \""code\"": 404,\n    \""message\"": \""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4-1` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations.\"",\n    \""status\"": \""NOT_FOUND\""\n  }\n}\n. Received Model Group=claude-opus-4-1\nAvailable Model Group Fallbacks=None"",""type"":null,""param"":null,""code"":""404""}}"
"claude-opus-4-5","FALHOU","33","","O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.","System.Net.WebException: O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.
   em System.Net.HttpWebRequest.GetRequestStream(TransportContext& context)
   em System.Net.HttpWebRequest.GetRequestStream()
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.SetRequestContent(WebRequest request, String content)
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.ProcessRecord()
   em System.Management.Automation.CommandProcessor.ProcessRecord()"
"claude-opus-4-6","FALHOU","16","","O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.","System.Net.WebException: O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.
   em System.Net.HttpWebRequest.GetRequestStream(TransportContext& context)
   em System.Net.HttpWebRequest.GetRequestStream()
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.SetRequestContent(WebRequest request, String content)
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.ProcessRecord()
   em System.Management.Automation.CommandProcessor.ProcessRecord()"
"claude-opus-4-7","FALHOU","16","","O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.","System.Net.WebException: O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.
   em System.Net.HttpWebRequest.GetRequestStream(TransportContext& context)
   em System.Net.HttpWebRequest.GetRequestStream()
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.SetRequestContent(WebRequest request, String content)
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.ProcessRecord()
   em System.Management.Automation.CommandProcessor.ProcessRecord()"
"claude-opus-4-8-high","FALHOU","15","","O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.","System.Net.WebException: O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.
   em System.Net.HttpWebRequest.GetRequestStream(TransportContext& context)
   em System.Net.HttpWebRequest.GetRequestStream()
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.SetRequestContent(WebRequest request, String content)
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.ProcessRecord()
   em System.Management.Automation.CommandProcessor.ProcessRecord()"
"claude-opus-4-8-low","FALHOU","16","","O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.","System.Net.WebException: O servidor remoto retornou um erro: (407) Autenticação de Proxy Obrigatória.
   em System.Net.HttpWebRequest.GetRequestStream(TransportContext& context)
   em System.Net.HttpWebRequest.GetRequestStream()
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.SetRequestContent(WebRequest request, String content)
   em Microsoft.PowerShell.Commands.WebRequestPSCmdlet.ProcessRecord()
   em System.Management.Automation.CommandProcessor.ProcessRecord()"
