"Modelo","Status","HttpStatus","DuracaoMs","Resposta","ErroResumo","ErroCompleto"
"all-team-models","FALHOU","400","1823","","/chat/completions: Invalid model name passed in model=all-team-models. Call `/v1/models` to view available models for your key.","{""error"":{""message"":""/chat/completions: Invalid model name passed in model=all-team-models. Call `/v1/models` to view available models for your key."",""type"":""None"",""param"":""None"",""code"":""400"",""provider_specific_fields"":{""error"":""/chat/completions: Invalid model name passed in model=all-team-models. Call `/v1/models` to view available models for your key.""}}}"
"claude-fable-5","OK","200","1552",,"",""
"claude-haiku-4-5","FALHOU","404","2408","","litellm.NotFoundError: Vertex_aiException - {
  ""error"": {
    ""code"": 404,
    ""message"": ""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-haiku-4-5` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations."",
    ""status"": ""NOT_FOUND""
  }
}
. Received Model Group=claude-haiku-4-5
Available Model Group Fallbacks=None","{""error"":{""message"":""litellm.NotFoundError: Vertex_aiException - {\n  \""error\"": {\n    \""code\"": 404,\n    \""message\"": \""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-haiku-4-5` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations.\"",\n    \""status\"": \""NOT_FOUND\""\n  }\n}\n. Received Model Group=claude-haiku-4-5\nAvailable Model Group Fallbacks=None"",""type"":null,""param"":null,""code"":""404""}}"
"claude-opus-4","FALHOU","404","2792","","litellm.NotFoundError: Vertex_aiException - {
  ""error"": {
    ""code"": 404,
    ""message"": ""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations."",
    ""status"": ""NOT_FOUND""
  }
}
. Received Model Group=claude-opus-4
Available Model Group Fallbacks=None","{""error"":{""message"":""litellm.NotFoundError: Vertex_aiException - {\n  \""error\"": {\n    \""code\"": 404,\n    \""message\"": \""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations.\"",\n    \""status\"": \""NOT_FOUND\""\n  }\n}\n. Received Model Group=claude-opus-4\nAvailable Model Group Fallbacks=None"",""type"":null,""param"":null,""code"":""404""}}"
"claude-opus-4-1","FALHOU","404","798","","litellm.NotFoundError: Vertex_aiException - {
  ""error"": {
    ""code"": 404,
    ""message"": ""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4-1` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations."",
    ""status"": ""NOT_FOUND""
  }
}
. Received Model Group=claude-opus-4-1
Available Model Group Fallbacks=None","{""error"":{""message"":""litellm.NotFoundError: Vertex_aiException - {\n  \""error\"": {\n    \""code\"": 404,\n    \""message\"": \""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4-1` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations.\"",\n    \""status\"": \""NOT_FOUND\""\n  }\n}\n. Received Model Group=claude-opus-4-1\nAvailable Model Group Fallbacks=None"",""type"":null,""param"":null,""code"":""404""}}"
"claude-opus-4-5","FALHOU","404","4461","","litellm.NotFoundError: Vertex_aiException - {
  ""error"": {
    ""code"": 404,
    ""message"": ""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4-5` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations."",
    ""status"": ""NOT_FOUND""
  }
}
. Received Model Group=claude-opus-4-5
Available Model Group Fallbacks=None","{""error"":{""message"":""litellm.NotFoundError: Vertex_aiException - {\n  \""error\"": {\n    \""code\"": 404,\n    \""message\"": \""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4-5` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations.\"",\n    \""status\"": \""NOT_FOUND\""\n  }\n}\n. Received Model Group=claude-opus-4-5\nAvailable Model Group Fallbacks=None"",""type"":null,""param"":null,""code"":""404""}}"
"claude-opus-4-6","FALHOU","404","1533","","litellm.NotFoundError: Vertex_aiException - {
  ""error"": {
    ""code"": 404,
    ""message"": ""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4-6` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations."",
    ""status"": ""NOT_FOUND""
  }
}
. Received Model Group=claude-opus-4-6
Available Model Group Fallbacks=None","{""error"":{""message"":""litellm.NotFoundError: Vertex_aiException - {\n  \""error\"": {\n    \""code\"": 404,\n    \""message\"": \""Publisher model `projects/receita-498317/locations/global/publishers/anthropic/models/claude-opus-4-6` was not found or your project does not have access to it. Ensure you are using a valid model name and that the model is available in the specified region. For more information, see: https://docs.cloud.google.com/gemini-enterprise-agent-platform/resources/locations.\"",\n    \""status\"": \""NOT_FOUND\""\n  }\n}\n. Received Model Group=claude-opus-4-6\nAvailable Model Group Fallbacks=None"",""type"":null,""param"":null,""code"":""404""}}"
"claude-opus-4-7","OK","200","1775","ok","",""
"claude-opus-4-8-high","OK","200","3769","Ok","",""
"claude-opus-4-8-low","OK","200","2263","ok","",""
